x	y	z	t	dist
0.37366	216.839	35.4891	15.216	3.85777
0.663759	216.028	35.3621	15.2702	3.02664
0.950955	215.249	35.24	15.3218	2.24984
1.15595	214.375	35.1029	15.3779	1.41566
1.35933	213.512	34.9677	15.4329	0.755125
1.4976	212.697	34.84	15.4837	0.76226
1.58885	211.865	34.7096	15.535	13.8862
1.65284	211.014	34.5761	15.5871	13.0602
1.68181	210.157	34.4419	15.6395	12.226
1.6773	209.334	34.3129	15.6898	11.4201
1.6331	208.516	34.1848	15.7399	10.6134
1.55997	207.671	34.0523	15.7918	9.77473
1.42573	206.789	33.9141	15.8466	8.88693
1.27043	205.948	33.7823	15.9002	8.03406
1.04622	205.096	33.6486	15.9544	7.15224
0.837488	204.225	33.5121	16.01	6.25707
0.523421	203.381	33.3799	16.0657	5.36125
0.239458	202.614	33.2596	16.1165	4.54842
-0.0199052	201.843	33.1388	16.1668	3.73944
-0.315042	201.034	33.012	16.2213	2.88885
-0.650708	200.184	32.8788	16.277	2.00353
-0.875252	199.333	32.7455	16.3314	1.14996
-1.10165	198.535	32.6204	16.3826	0.461598
-1.25267	197.669	32.4846	16.4365	0.686936
-1.35469	196.792	32.3472	16.4903	13.5976
-1.41395	195.94	32.2137	16.5425	12.7671
-1.41	194.999	32.0662	16.5994	11.8404
-1.34908	194.108	31.9265	16.6536	10.9544
-1.2518	193.244	31.7911	16.7067	10.088
-1.12159	192.357	31.6521	16.7618	9.19351
-0.90648	191.545	31.5249	16.8135	8.35495
-0.680453	190.756	31.4012	16.8651	7.53658
-0.411189	190	31.2826	16.9159	6.74299
-0.142616	189.232	31.1623	16.9672	5.94075
0.148285	188.42	31.035	17.0214	5.09535
0.439634	187.681	30.9192	17.0718	4.32949
0.800948	186.873	30.7925	17.1271	3.506
1.06004	186.103	30.6719	17.1782	2.74898
1.25761	185.284	30.5434	17.2304	1.97073
1.43021	184.469	30.4158	17.2818	1.26989
1.58237	183.59	30.2779	17.3369	0.81351
1.66961	182.69	30.137	17.3923	1.10163
1.72285	181.762	29.9916	17.4493	13.4539
1.72044	180.867	29.8513	17.504	12.5752
1.67245	180.02	29.7184	17.5559	11.7358
1.58529	179.157	29.5832	17.609	10.8742
1.43675	178.264	29.4433	17.6649	9.97095
1.25801	177.453	29.3161	17.7162	9.14028
1.06614	176.601	29.1826	17.7706	8.26716
0.791788	175.791	29.0556	17.8244	7.41635
0.556955	174.962	28.9257	17.879	6.55628
0.250523	174.143	28.7973	17.9342	5.69312
-0.015155	173.34	28.6715	17.9881	4.85625
-0.292296	172.544	28.5468	18.0412	4.02911
-0.585024	171.673	28.4102	18.098	3.13267
-0.830078	170.815	28.2758	18.1529	2.2684
-0.999624	169.928	28.1367	18.2084	1.39494
-1.14947	169.082	28.0042	18.2605	0.639043
-1.25365	168.251	27.8739	18.312	0.541954
-1.33047	167.336	27.7305	18.3682	13.7735
-1.35455	166.448	27.5913	18.4221	12.9006
-1.3307	165.613	27.4604	18.4732	12.0737
-1.26556	164.726	27.3215	18.5274	11.1902
-1.14728	163.807	27.1773	18.5836	10.2645
-1.01776	162.915	27.0375	18.6386	9.3645
-0.833047	162.019	26.8972	18.6948	8.45
-0.57676	161.219	26.7717	18.7468	7.61562
-0.327536	160.421	26.6467	18.7991	6.78703
-0.102077	159.648	26.5256	18.8496	5.98809
0.218757	158.848	26.4002	18.9034	5.15246
0.480826	158.009	26.2687	18.9591	4.29275
0.74824	157.246	26.1491	19.0105	3.51833
0.98592	156.448	26.024	19.0628	2.72615
1.1803	155.663	25.9009	19.1131	1.97142
1.34382	154.856	25.7745	19.164	1.25178
1.50057	154.015	25.6427	19.2165	0.757057
1.59635	153.153	25.5076	19.2699	0.982361
1.65393	152.286	25.3717	19.3237	13.5999
1.66247	151.456	25.2416	19.3745	12.7864
1.6332	150.629	25.112	19.425	11.9696
1.57285	149.707	24.9675	19.4814	11.0558
1.48116	148.885	24.8386	19.5324	10.2329
1.35072	148.077	24.712	19.5827	9.4169
1.18655	147.288	24.5883	19.6328	8.61077
0.943036	146.489	24.4631	19.6846	7.7774
0.713821	145.648	24.3312	19.7393	6.90634
0.408676	144.825	24.2024	19.7946	6.03848
0.149392	144.029	24.0775	19.8484	5.20703
-0.0992455	143.257	23.9565	19.8994	4.40353
-0.403381	142.432	23.8273	19.9549	3.54552
-0.641756	141.656	23.7056	20.006	2.7512
-0.864037	140.841	23.578	20.0578	1.9334
-1.04727	139.98	23.4429	20.1119	1.09891
-1.22369	139.1	23.305	20.1668	0.464725
-1.32696	138.183	23.1613	20.2232	0.897378
-1.39999	137.351	23.0309	20.2744	13.4418
-1.42117	136.423	22.8854	20.3311	12.5311
-1.39782	135.534	22.7462	20.3851	11.6534
-1.33971	134.659	22.609	20.4385	10.7831
-1.24815	133.84	22.4806	20.4887	9.96251
-1.12704	133.019	22.3519	20.5391	9.13427
-0.973436	132.168	22.2186	20.5924	8.2704
-0.746859	131.292	22.0813	20.6478	7.36662
-0.534406	130.456	21.9503	20.7013	6.50464
-0.292568	129.677	21.8281	20.7523	5.69229
0.0220278	128.884	21.7039	20.8056	4.85674
0.29792	128.035	21.5708	20.8612	3.97679
0.604179	127.205	21.4408	20.9173	3.12141
0.847353	126.431	21.3194	20.9683	2.34147
1.07545	125.605	21.1899	21.0215	1.53974
1.2673	124.807	21.0649	21.0724	0.855922
1.42109	124.01	20.9399	21.1226	0.62628
1.53263	123.194	20.8121	21.1731	14.1176
1.60846	122.311	20.6737	21.2276	13.2606
1.62775	121.433	20.5361	21.2815	12.4023
1.58542	120.521	20.3931	21.3375	11.4998
1.50987	119.605	20.2495	21.3938	10.589
1.37827	118.776	20.1196	21.4452	9.75109
1.22099	117.938	19.9882	21.4977	8.89915
1.03293	117.154	19.8654	21.548	8.09311
0.822807	116.378	19.7438	21.5981	7.29014
0.621951	115.579	19.6186	21.6494	6.46669
0.332887	114.763	19.4906	21.7044	5.60756
0.066587	113.977	19.3674	21.7576	4.78495
-0.195671	113.158	19.2391	21.8128	3.93344
-0.500718	112.37	19.1156	21.8653	3.11374
-0.74411	111.52	18.9824	21.9212	2.24971
-0.991128	110.667	18.8487	21.9766	1.40936
-1.15264	109.774	18.7087	22.0323	0.614113
-1.29602	108.928	18.5762	22.0847	0.602949
-1.37617	108.111	18.4481	22.1349	13.8316
-1.41553	107.24	18.3115	22.1881	12.9781
-1.41241	106.388	18.178	22.2402	12.1392
-1.36566	105.555	18.0475	22.2911	11.3122
-1.26271	104.664	17.9078	22.3457	10.4182
-1.13635	103.845	17.7795	22.3968	9.59096
-0.971305	102.95	17.6392	22.4525	8.68102
-0.767089	102.132	17.5109	22.5044	7.83802
-0.511166	101.331	17.3854	22.5573	7.00267
-0.251524	100.449	17.2473	22.6143	6.08887
0.0581131	99.6007	17.1142	22.6702	5.20195
0.357495	98.8334	16.994	22.7226	4.40375
0.7034	98.004	16.864	22.7796	3.55335
0.957616	97.2096	16.7395	22.8321	2.76214
1.21684	96.3727	16.6083	22.8872	1.96551
1.39259	95.5735	16.4831	22.9384	1.26853
1.53366	94.7411	16.3526	22.9905	0.78859
1.65564	93.8352	16.2106	23.0466	1.05473
1.71143	93.0151	16.0821	23.0968	13.6159
1.72557	92.1093	15.9401	23.1522	12.7295
1.68514	91.2431	15.8044	23.2054	11.8732
1.60774	90.3546	15.6651	23.2603	10.9887
1.46727	89.4585	15.5246	23.3165	10.0838
1.31343	88.5991	15.39	23.3708	9.2119
1.11553	87.7931	15.2636	23.4226	8.38203
0.894271	86.9986	15.1391	23.4743	7.55809
0.586305	86.1832	15.0113	23.53	6.69536
0.317191	85.4261	14.8926	23.5809	5.8999
-0.0424932	84.6465	14.7705	23.6348	5.07053
-0.366959	83.897	14.653	23.6869	4.28605
-0.655361	83.1113	14.5298	23.7411	3.48136
-1.01201	82.3353	14.4082	23.7959	2.7107
-1.24385	81.4794	14.2741	23.8519	1.89913
-1.45594	80.6649	14.1464	23.9049	1.2228
-1.45594	79.8467	14.0182	23.9551	0.689905
-1.45594	78.9886	13.8837	24.0074	0.919453
-1.45594	78.0694	13.7396	24.0631	13.4462
-1.45594	77.158	13.5968	24.1184	12.5488
-1.45594	76.296	13.4617	24.1709	11.7018
-1.45594	75.4678	13.3319	24.2214	10.8903
-1.45594	74.6215	13.1992	24.2732	10.0638
-1.30523	73.7508	13.0628	24.3276	9.18166
-1.1253	72.9591	12.9387	24.3782	8.36982
-0.926091	72.0895	12.8024	24.4334	7.47768
-0.668862	71.272	12.6743	24.4861	6.6232
-0.341415	70.4537	12.546	24.5412	5.75435
0.00930117	69.6185	12.4151	24.5978	4.86942
0.284894	68.7978	12.2865	24.6521	4.01726
0.58195	68.043	12.1682	24.7034	3.23659
0.90578	67.281	12.0487	24.7553	2.46951
1.16113	66.4849	11.924	24.8079	1.70976
1.37068	65.6868	11.7989	24.8592	1.04306
1.58079	64.8573	11.6689	24.9122	0.782007
1.71488	64.0392	11.5406	24.9633	1.19869
1.81938	63.2135	11.4112	25.0143	13.4758
1.88954	62.3676	11.2787	25.0661	12.6618
1.9277	61.5453	11.1498	25.1166	11.8683
1.92204	60.6829	11.0146	25.1695	11.0293
1.88438	59.819	10.8792	25.2228	10.1844
1.79685	58.8985	10.7349	25.2794	9.27469
1.68456	58.0911	10.6084	25.3296	8.46902
1.53144	57.2915	10.4831	25.3803	7.66016
1.35618	56.4801	10.3559	25.4316	6.83438
1.15977	55.7065	10.2346	25.4817	6.03858
0.883193	54.8836	10.1057	25.5365	5.1705
0.614849	54.0929	9.98174	25.5891	4.33547
0.341328	53.28	9.85435	25.6443	3.4779
-0.00625768	52.5142	9.73431	25.6984	2.64148
-0.300818	51.7507	9.61466	25.7512	1.82556
-0.556587	50.9723	9.49265	25.8027	1.00739
-0.796668	50.1171	9.35862	25.8583	0.122425
-0.94702	49.311	9.23227	25.9089	0.699411
-1.06157	48.5011	9.10534	25.9591	13.4549
-1.13489	47.5921	8.96286	26.0152	12.5664
-1.15503	46.6795	8.81984	26.071	11.6689
-1.11977	45.8211	8.6853	26.1234	10.8173
-1.05033	44.9788	8.55329	26.175	9.97636
-0.922248	44.164	8.42557	26.2256	9.15193
-0.770145	43.2559	8.28325	26.2818	8.23145
-0.589435	42.4498	8.15691	26.3329	7.40572
-0.330856	41.6329	8.02887	26.386	6.55558
-0.0821931	40.861	7.90789	26.436	5.75347
0.172459	40.0483	7.78051	26.4894	4.91295
0.444025	39.1959	7.64692	26.5453	4.03606
0.751203	38.3432	7.51328	26.6017	3.16801
0.97709	37.556	7.3899	26.6529	2.38706
1.21402	36.6835	7.25314	26.709	1.56371
1.37462	35.861	7.12423	26.7606	0.894421
1.48115	35.0338	6.99458	26.8117	0.695752
1.55195	34.19	6.86234	26.8634	14.032
1.58647	33.3444	6.72981	26.915	13.2053
1.58201	32.5143	6.59971	26.9659	12.3889
1.51756	31.5992	6.45628	27.0223	11.4791
1.42935	30.7786	6.32767	27.073	10.6579
1.27449	29.9066	6.191	27.1278	9.77281
1.11293	29.0634	6.05885	27.1812	8.91457
0.933978	28.2769	5.93557	27.2313	8.10793
0.697952	27.4322	5.80318	27.286	7.23251
0.453846	26.6706	5.68382	27.3361	6.43742
0.203018	25.839	5.55347	27.3911	5.57344
-0.0575268	25.0445	5.42895	27.4437	4.7464
-0.359741	24.222	5.30005	27.4989	3.89052
-0.592718	23.3677	5.16615	27.5536	3.01835
-0.828458	22.5199	5.03328	27.6085	2.16361
-0.986404	21.6577	4.89814	27.6629	1.3145
-1.13122	20.8105	4.76535	27.7162	0.561949
-1.20866	19.9948	4.63752	27.7664	0.545718
-1.24633	19.1227	4.50082	27.8199	13.7386
-1.24139	18.2077	4.35741	27.8759	12.8337
-1.17836	17.3625	4.22494	27.9276	11.9895
-1.08669	16.5079	4.09101	27.9806	11.1317
-0.955336	15.6873	3.96239	28.0318	10.3006
-0.770476	14.8514	3.83138	28.0849	9.44557
-0.563812	14.0673	3.70848	28.1361	8.63828
-0.328166	13.2396	3.57875	28.1903	7.78443
-0.0805495	12.3854	3.44487	28.2455	6.90444
0.231109	11.6126	3.32376	28.2975	6.10189
0.465969	10.7891	3.19468	28.3508	5.26239
0.715008	10.0044	3.0717	28.4017	4.46793
0.93263	9.19087	2.94419	28.454	3.65596
1.15887	8.31809	2.8074	28.5095	2.80383
1.29556	7.46994	2.67447	28.5622	1.99514
1.41072	6.57943	2.5349	28.6174	1.20788
1.47123	5.7535	2.40545	28.6683	0.705178
1.49758	4.91315	2.27374	28.7196	0.936059
1.48766	4.02118	2.13394	28.7741	13.4982
1.43291	3.15062	1.9975	28.8271	12.6313
1.35676	2.26961	1.85942	28.881	11.7509
1.24562	1.37781	1.71964	28.9362	10.854
1.10973	0.546511	1.58935	28.988	10.012
0.979373	-0.350785	1.44872	29.044	9.10645
0.793862	-1.20016	1.31559	29.0978	8.23722
0.635121	-2.06956	1.17933	29.1526	7.35355
0.46362	-2.86605	1.05449	29.203	6.53891
0.317984	-3.70346	0.923248	29.2557	5.68918
0.139038	-4.59352	0.783747	29.3117	4.7813
0.00137384	-5.42083	0.654081	29.3631	3.94316
-0.154933	-6.27441	0.520299	29.4167	3.0757
-0.282554	-7.10309	0.390419	29.4685	2.23923
-0.380186	-8.0023	0.249484	29.5242	1.34652
-0.495404	-8.88968	0.110404	29.5791	0.496449
-0.575987	-9.71745	-0.0193343	29.6305	-1
-0.651471	-10.5374	-0.147839	29.6808	13.6409
-0.711576	-11.387	-0.281008	29.7331	12.8033
-0.769269	-12.2611	-0.418005	29.7871	11.9432
-0.808065	-13.1992	-0.565036	29.8443	11.0196
-0.844569	-14.0641	-0.700591	29.8974	10.1706
-0.865922	-14.9612	-0.841192	29.9523	9.29021
-0.884145	-15.8297	-0.977311	30.0054	8.44086
-0.902984	-16.6567	-1.10694	30.0563	7.63638
-0.913808	-17.5017	-1.23936	30.1082	6.81807
-0.920097	-18.3828	-1.37746	30.1622	5.97114
