x	y	z	t	dist
-0.697327	288.711	46.7538	16.7635	1.61432
-0.582371	288.167	46.6685	16.8177	1.08898
-0.455682	287.621	46.5829	16.8727	0.624086
-0.300649	287.105	46.5021	16.925	0.499376
-0.163251	286.547	46.4147	16.9811	-1
0.00106979	286.027	46.3331	17.0345	13.7691
0.133474	285.488	46.2487	17.089	13.2241
0.26497	284.956	46.1652	17.1421	12.6858
0.423343	284.428	46.0825	17.1952	12.1529
0.547761	283.866	45.9943	17.2498	11.5871
0.674809	283.338	45.9117	17.3014	11.0578
0.819657	282.805	45.8281	17.3536	10.5239
0.934776	282.262	45.743	17.406	9.98156
1.06056	281.72	45.658	17.4588	9.44229
1.16713	281.18	45.5734	17.511	8.9065
1.26966	280.652	45.4906	17.5618	8.38368
1.37931	280.074	45.4001	17.6167	7.81453
1.46084	279.535	45.3156	17.6679	7.28361
1.54879	278.95	45.2238	17.7231	6.71031
1.61076	278.38	45.1345	17.7765	6.15217
1.65963	277.836	45.0493	17.8278	5.62069
1.69569	277.287	44.9632	17.8791	5.08497
1.71844	276.739	44.8774	17.9303	4.5516
1.73659	276.189	44.7912	17.9818	4.01877
1.7408	275.597	44.6984	18.0375	3.44647
1.72811	275.045	44.6118	18.089	2.91529
1.70251	274.49	44.525	18.141	2.38649
1.66459	273.954	44.4409	18.1915	1.88331
1.59984	273.392	44.3528	18.2445	1.36869
1.53124	272.846	44.2672	18.2961	0.923717
1.45562	272.292	44.1803	18.3485	0.655703
1.35732	271.742	44.0942	18.4011	0.775198
1.2328	271.195	44.0084	18.4542	13.8826
1.10979	270.654	43.9237	18.5066	13.3301
0.981006	270.126	43.8409	18.5581	12.7889
0.847629	269.581	43.7556	18.6112	12.2311
0.71862	269.073	43.6759	18.6612	11.7103
0.571175	268.563	43.596	18.712	11.1857
0.400022	268.01	43.5092	18.7676	10.616
0.222453	267.456	43.4224	18.8234	10.046
0.0717131	266.943	43.342	18.8746	9.5207
-0.0871362	266.424	43.2608	18.9259	8.99089
-0.243303	265.898	43.1783	18.9785	8.45475
-0.363563	265.343	43.0912	19.0324	7.8929
-0.489162	264.816	43.0086	19.083	7.36048
-0.612246	264.242	42.9187	19.138	6.78296
-0.702637	263.664	42.8281	19.1925	6.20273
-0.77938	263.068	42.7348	19.2484	5.60654
-0.830431	262.468	42.6406	19.3044	5.00598
-0.852112	261.887	42.5496	19.358	4.42572
-0.858476	261.293	42.4565	19.4135	3.83175
-0.843341	260.719	42.3666	19.4669	3.25758
-0.810699	260.143	42.2762	19.5206	2.68084
-0.763673	259.582	42.1884	19.5737	2.12061
-0.688518	258.994	42.0962	19.629	1.53625
-0.606108	258.427	42.0073	19.6827	0.984432
-0.484199	257.898	41.9244	19.7337	0.538606
-0.368402	257.327	41.8349	19.7886	-1
-0.249405	256.774	41.7483	19.842	14.1704
-0.0935381	256.201	41.6584	19.8978	13.5874
0.050646	255.643	41.5709	19.9525	13.0215
0.219898	255.088	41.4841	20.0072	12.4591
0.349387	254.512	41.3938	20.0629	11.8781
0.502535	253.93	41.3025	20.1193	11.2912
0.631701	253.392	41.2181	20.172	10.7501
0.766752	252.849	41.133	20.2248	10.206
0.881461	252.303	41.0474	20.2773	9.66018
0.970918	251.773	40.9643	20.3283	9.13125
1.03939	251.213	40.8766	20.381	8.57338
1.09832	250.672	40.7918	20.432	8.0342
1.15235	250.124	40.706	20.4835	7.48931
1.18156	249.553	40.6165	20.5368	6.92109
1.19777	248.996	40.5292	20.5888	6.36592
1.20132	248.417	40.4384	20.6427	5.78813
1.18367	247.875	40.3534	20.6934	5.24569
1.15101	247.316	40.2659	20.7457	4.68621
1.11075	246.757	40.1782	20.7979	4.12566
1.05409	246.193	40.0899	20.8508	3.55965
0.985555	245.662	40.0066	20.9011	3.02477
0.911035	245.112	39.9205	20.9531	2.47207
0.79747	244.516	39.8271	21.0102	1.87357
0.708784	243.994	39.7452	21.0606	1.35413
0.580911	243.434	39.6574	21.1145	0.820913
0.480613	242.907	39.5748	21.1653	0.414357
0.361616	242.381	39.4924	21.2165	-1
0.252937	241.837	39.4071	21.2691	14.0521
